Squad,Season,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
NY Red Bulls,2019,28,34,21.9,13.8,10.4,8.97,2.53,8.53,22.7,37.5,14.2,188.9,57.4,30.4,57.4,86.3,45.3,16.4,3.26,0.12,13.1,9.68,31.5,32.9,0.24
NYCFC,2019,25,34,19.1,12.4,9.76,7.21,2.18,6.94,20.6,33.7,13.7,152.8,44,28.8,50.8,69.1,32.9,13.1,2.41,0.03,10.7,8.5,27.6,26.6,0.18
Orlando City,2019,27,34,16.9,10.6,9.59,4.88,2.41,6.03,17.4,34.7,11.4,151.8,38.9,25.6,57.7,61.2,32.9,13.3,2.71,0.09,10.6,6.91,23.8,26.9,0.18
Philadelphia,2019,28,34,19.5,13,8.94,7.74,2.85,7.62,21,36.3,13.4,161.7,45,27.8,48.1,74.5,39.1,14.3,3.18,0.06,11.1,8.82,28.4,23.8,0.21
Portland Timbers,2019,27,34,17.6,10.8,9.56,5.74,2.29,6.09,18.3,33.3,12.2,152.4,40.8,26.7,53.4,63.6,35.5,14.3,3.62,0.06,10.6,8.44,26,25.1,0.24
Real Salt Lake,2019,25,34,15.2,9.5,7.53,6.09,1.62,5.41,16.3,33.2,10.9,157.7,37.8,23.9,52.9,73.2,31.7,14.7,3.59,0.06,11.1,8.35,23.6,27.9,0.12
San Jose,2019,25,34,18.2,11.5,8.85,7.24,2.15,5.94,17.6,33.7,11.7,145.6,42.7,29.3,52.4,65.2,28,13.1,3.24,0.06,9.82,9.94,28.2,21.2,0.29
Seattle,2019,29,34,16.9,10.5,8.74,6.26,1.85,5.5,18,30.5,12.5,152.9,39.9,26.1,56.4,66.3,30.3,14.8,3.32,0,11.5,7.5,24.4,23.4,0.18
Sporting KC,2019,29,34,15.4,9.91,7.41,5.47,2.56,5.12,16.9,30.3,11.8,161.8,39.6,24.5,50.9,68.6,42.4,13.4,3.53,0.03,9.88,6.68,22.1,22.9,0.24
Toronto FC,2019,29,34,16.1,9.59,8.03,5.74,2.35,5.5,15.1,36.5,9.56,142.6,37,25.9,46.9,63.4,32.4,13.7,2.59,0.03,11.1,6.71,22.8,19.7,0.29
Vancouver,2019,26,34,14.9,9.35,8.85,4.65,1.35,5.38,16.9,31.8,11.6,149,33.4,22.4,61.1,60.3,27.6,15.1,5.41,0.21,9.68,8.91,23.8,30,0.26
Atlanta Utd,2018,26,34,16.5,10.4,8.71,5.68,2.12,5.38,16.7,32.2,11.3,105.2,28.6,27.2,40.6,43.9,20.7,13.7,2.32,0.06,11.4,6.82,23.3,14.7,0.24
Chicago Fire,2018,26,34,17.2,10.1,9.18,6.26,1.74,6.29,16.7,37.7,10.4,172.3,40.3,23.4,65.9,76.9,29.4,13.2,2.97,0.09,10.2,8.97,26.1,22.3,0.38
Colorado Rapids,2018,26,34,14.2,8.21,7.21,5.71,1.29,3.97,14,28.3,10.1,175,36.7,21,63.4,75.4,36.1,13.1,3.91,0.12,9.21,8.32,22.5,21.4,0.24
Columbus Crew,2018,26,34,14.4,9.85,7.74,4.82,1.88,4.91,13.7,35.8,8.79,143.5,38.4,26.7,48.5,62,33.1,13.7,2.53,0.03,11.2,7.94,22.4,17.6,0.32
D.C. United,2018,26,34,14.9,9.47,8.32,4.94,1.65,5.26,15.7,33.6,10.4,150,35.9,24,58.4,60.5,31,17.8,4.94,0.06,12.8,8.18,23.1,23.8,0.26
FC Dallas,2018,26,34,16.9,11.9,9.06,5.59,2.26,5.79,15.5,37.4,9.71,150.4,35.5,23.6,52.9,65.7,31.8,13.6,3.35,0.03,10.3,8.53,25.4,23,0.21
Houston Dynamo,2018,26,34,16.6,10.5,8.56,6.18,1.88,4.82,16.2,29.8,11.4,147.9,36.2,24.5,50.1,65.6,32.1,12,2.59,0.03,9.44,6.74,23.4,18.5,0.21
LA Galaxy,2018,26,34,16.9,10.9,7.94,6.59,2.41,5.15,15.3,33.6,10.2,161.1,39.3,24.4,57.3,72.1,31.7,13.2,3.62,0.12,9.56,8.79,25.7,20.2,0.38
