Squad,season,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
New England,2020,25,23,1.57,0.09,0.04,12,12.2,1.96,14.4,6.48,11.1,0.13,0.04,0.09,98.3,17.4,16.5,51.3
NY Red Bulls,2020,27,23,1.3,0.04,0,12.9,11.6,2.13,14,5.96,11.4,0.04,0.13,0.04,113.3,20,18.5,51.9
NYCFC,2020,22,23,2.17,0.04,0,15.7,10.7,2.91,10.7,6.57,13.1,0.09,0.17,0,94.6,14.3,13.4,51.6
Orlando City,2020,28,23,2.09,0.09,0.04,12.7,13,1.17,11,4.91,11.3,0.04,0.04,0.04,79,12.6,14.3,46.7
Philadelphia,2020,23,23,2.39,0,0,14,10.2,2.09,12.7,6.87,13.3,0.04,0.09,0,90,15.9,15.7,50.4
Portland Timbers,2020,27,23,1.96,0.04,0.04,11.2,12.6,1.09,10.3,6.7,10.6,0.04,0.09,0,86.3,13.9,14.3,49.3
Real Salt Lake,2020,26,22,2.23,0.09,0.05,13,9.95,1.27,13.5,5.73,11,0.09,0.05,0.09,94.2,16.9,16.9,50
San Jose,2020,27,23,1.65,0.04,0.04,12.2,11.7,1.43,12.3,6.61,11.7,0.13,0.17,0.13,85,10.9,12.7,46.2
Seattle,2020,27,22,1.45,0,0,9.86,10.6,1.91,14.3,6.82,11.2,0.05,0.09,0.05,87.7,15.9,12.1,56.7
Sporting KC,2020,23,21,2.14,0.1,0.05,12.5,11,1.43,13.1,6.48,11.3,0,0.1,0.1,91.6,15,15.4,49.2
Toronto FC,2020,29,23,1.52,0,0,10.8,12,1.83,11.6,4.13,10.9,0.13,0.09,0.04,88.7,10.2,11.7,46.6
Vancouver,2020,27,23,1.96,0.17,0.09,11.7,13.2,1.13,9.13,7.09,10.2,0.17,0.13,0.13,74.2,13.7,13.7,
Average,2020,26.19,22.46,1.87,0.08,0.04,12.64,11.81,1.73,12.18,6.16,11.39,0.09,0.13,0.04,88.93,14.03,14.00,49.95
NY Red Bulls,2019,28,34,1.53,0.15,0.06,12,12.8,2.06,13,9.68,13.8,0.15,0.18,0.06,111.6,21,20.7,50.3
Los Angeles FC,2019,28,34,1.56,0.03,0.03,12,12.7,2.32,10.2,9.5,12.6,0.24,0.09,0.12,96.1,10.8,9.18,54.1
New England,2019,23,34,2,0.18,0.12,13,12.3,1.71,11.3,7.79,11.1,0.12,0.12,0,95.4,14.4,14.7,49.3
NYCFC,2019,25,34,2.32,0.03,0,13.8,12.2,2.03,10.2,8.5,12.4,0.18,0.29,0.09,91,12.8,13.6,48.6
